factor,sample_split,gold_regime,forward_horizon,percentile_bucket,count,avg_forward_return,median_forward_return,win_rate,max_drawdown_after_signal
mm_net_percentile_156w,all,bear,8W,20-30 percentile,10,-0.023694096453033175,-0.041867702370517346,0.3,-0.10389974526436185
mm_net_percentile_156w,all,bear,8W,30-40 percentile,28,-0.007679426773702472,-0.007895864390186358,0.39285714285714285,-0.10414806770093099
mm_net_percentile_156w,all,bear,8W,40-50 percentile,6,-0.0079161971041626,-0.004254449912453606,0.3333333333333333,-0.09865971705137755
mm_net_percentile_156w,all,bear,8W,50-60 percentile,7,-0.02773083074888527,-0.022545474273989896,0.14285714285714285,-0.09515625966648467
mm_net_percentile_156w,all,bear,8W,60-70 percentile,6,-0.06464042751744857,-0.06223904004118885,0.0,-0.10409220015685972
mm_net_percentile_156w,all,bear,8W,70-80 percentile,0,,,,
mm_net_percentile_156w,all,bear,8W,80-90 percentile,1,-0.1098570391684549,-0.1098570391684549,0.0,-0.1098570391684549
mm_net_percentile_156w,all,bear,8W,90-100 percentile,0,,,,
producer_net_percentile_156w,all,bear,1W,0-10 percentile,0,,,,
producer_net_percentile_156w,all,bear,1W,10-20 percentile,1,-0.023335129365832485,-0.023335129365832485,0.0,-0.023335129365832485
producer_net_percentile_156w,all,bear,1W,20-30 percentile,10,-0.007959094676970414,-0.011447242411369962,0.3,-0.02842701104657508
producer_net_percentile_156w,all,bear,1W,30-40 percentile,12,0.014141132003606513,0.012251901676501809,0.6666666666666666,-0.021786074380261256
producer_net_percentile_156w,all,bear,1W,40-50 percentile,13,-0.005159027912672523,0.0007809999956569502,0.5384615384615384,-0.04326716578635903
producer_net_percentile_156w,all,bear,1W,50-60 percentile,11,-0.003989909598459735,0.0035704741022362096,0.6363636363636364,-0.050276545080313984
producer_net_percentile_156w,all,bear,1W,60-70 percentile,20,-0.0009034906675720767,-0.0034880263101451092,0.4,-0.02365624625320495
producer_net_percentile_156w,all,bear,1W,70-80 percentile,6,-0.005260294687234268,-0.0025546050150934696,0.3333333333333333,-0.055389516334043765
producer_net_percentile_156w,all,bear,1W,80-90 percentile,18,-0.004532202001505485,-0.004534278117413915,0.3333333333333333,-0.03981953037134489
