feature_group,window,feature_name,bucket,count,avg_forward_return_1w,median_forward_return_1w,win_rate_1w,avg_forward_return_2w,median_forward_return_2w,win_rate_2w,avg_forward_return_4w,median_forward_return_4w,win_rate_4w,avg_forward_return_8w,median_forward_return_8w,win_rate_8w,best_return_8w,worst_return_8w
net,2W,mm_net_velocity_2w,-40 to -20,66,-0.008790390100797818,-0.01015994065882625,0.2878787878787879,-0.0170365675289101,-0.01923423563041785,0.19696969696969696,-0.00838401101702272,-0.0173687721177768,0.22727272727272727,0.01936966490747054,-0.0018527919256087,0.4696969696969697,0.2490795911429133,-0.083966437335314
net,2W,mm_net_velocity_2w,-20 to 0,324,-0.004985522753484593,-0.0061608184281099505,0.3950617283950617,-0.009970741548049453,-0.010484069713486449,0.2716049382716049,-0.005053005155966039,-0.0069206176949941,0.4228395061728395,0.005240499484036669,-0.0048267555152991005,0.4660493827160494,0.2133711803970932,-0.1417529499061852
net,2W,mm_net_velocity_2w,0 to 20,359,0.007830231069710989,0.0071264741977969,0.6963788300835655,0.01534592927907649,0.0150981517914474,0.7910863509749304,0.015648711906958674,0.0176147340088128,0.6713091922005571,0.01973972912909363,0.0164302792642523,0.5933147632311978,0.2391145624670039,-0.1351957658134761
net,2W,mm_net_velocity_2w,20 to 40,50,0.012380402181186039,0.0132999937644159,0.78,0.027605216930756148,0.02818170704678185,0.92,0.04055243915841388,0.037312567079502354,0.92,0.03420615830646265,0.03238882880854095,0.76,0.1343851961281903,-0.045643465696193
net,2W,mm_net_velocity_2w,>= 40,15,0.021644267829872207,0.0166824308271413,1.0,0.04554424696058305,0.0435234868403509,1.0,0.054059215310591345,0.0471111111111111,1.0,0.04845099127428018,0.0374182132672586,0.9333333333333333,0.1277635936010763,-0.016841817380213
net,4W,mm_net_velocity_4w,<= -40,33,-0.010473528419490258,-0.0110576268350474,0.24242424242424243,-0.017140797390556507,-0.0143963159520541,0.18181818181818182,-0.029112097545986378,-0.0412387985689479,0.18181818181818182,0.001021578820897596,-0.0170498579178506,0.3333333333333333,0.2078951875901724,-0.1127336639223639
net,4W,mm_net_velocity_4w,-40 to -20,76,-0.0027316514561393206,-0.0074504149948078,0.39473684210526316,-0.010231793937873119,-0.01467461010221,0.3026315789473684,-0.018638802242713224,-0.02516209166236165,0.2236842105263158,0.0028272438249122393,-0.0105287886279632,0.35526315789473684,0.2490795911429133,-0.1159048295679646
net,4W,mm_net_velocity_4w,-20 to 0,296,-0.0020499101458970213,-0.00242660606140255,0.46283783783783783,-0.004897356762106375,-0.00653369919779915,0.36824324324324326,-0.007915517434061135,-0.011673543897329799,0.34797297297297297,0.00466339697653125,-0.00312621416034505,0.46959459459459457,0.2133711803970932,-0.1417529499061852
net,4W,mm_net_velocity_4w,0 to 20,304,0.005201941871188061,0.005510680614285,0.6447368421052632,0.011132325248624014,0.01121810634632675,0.7006578947368421,0.018099482641025597,0.01807738904779465,0.7269736842105263,0.01686750704746863,0.015847655341171447,0.5789473684210527,0.149884004896968,-0.1351957658134761
net,4W,mm_net_velocity_4w,20 to 40,73,0.008284297032564392,0.0092833271444485,0.7123287671232876,0.018509283913647156,0.01933575871274,0.821917808219178,0.03852617796478686,0.0387529374795494,0.9726027397260274,0.05001663268334563,0.0520416876149829,0.821917808219178,0.1625829071198501,-0.0417344035109218
net,4W,mm_net_velocity_4w,>= 40,37,0.01205357283100978,0.0127855016054827,0.7567567567567568,0.026850257872161616,0.0272060950849777,0.8918918918918919,0.06369408199524813,0.0591037151165725,0.972972972972973,0.049618316462367085,0.0435950893443028,0.8918918918918919,0.1408568443760893,-0.045643465696193
